Date    	Days	documents * accesses	documents * bytes	documents * visits	documents / accesses	documents / bytes	documents / visits
1/26/2003	7	                3.00	              293.00	                3.00	                3.00	              293.00	                3.00
2/2/2003	7	                6.00	             1403.00	                6.00	                3.00	              586.00	                3.00
2/9/2003	7	                7.00	             1403.00	                7.00	                4.00	              586.00	                4.00
2/16/2003	7	                4.00	             1172.00	                4.00	                2.00	              586.00	                2.00
2/23/2003	7	               30.00	           260213.00	               12.00	                8.00	            22636.00	                7.00
3/2/2003	7	              151.00	          1250178.00	               56.00	               34.00	            95257.00	               27.00
3/9/2003	7	              148.00	          2177712.00	               32.00	               21.00	            56673.00	               16.00
3/16/2003	7	               52.00	           455466.00	               19.00	               14.00	            43165.00	               10.00
3/23/2003	7	              106.00	          1753819.00	               23.00	               20.00	            57132.00	               13.00
3/30/2003	7	              270.00	           230290.00	               24.00	               18.00	            30826.00	               10.00
4/6/2003	7	               78.00	          1185192.00	               16.00	               14.00	            31185.00	               11.00
4/13/2003	7	               66.00	           601104.00	               30.00	               21.00	            35281.00	               16.00
4/20/2003	7	              550.00	          9227415.00	               60.00	               50.00	           178200.00	               33.00
4/27/2003	7	              418.00	         11891357.00	               62.00	               44.00	           124740.00	               38.00
5/4/2003	7	              934.00	         17310148.00	              225.00	              115.00	           347131.00	               83.00
5/11/2003	7	             1239.00	         22730006.00	              238.00	              190.00	           503681.00	              147.00
5/18/2003	7	              661.00	         11934410.00	              141.00	               86.00	           177841.00	               79.00
5/25/2003	7	              807.00	         11954608.00	              278.00	              113.00	           232192.00	               99.00
6/1/2003	7	              749.00	         10280701.00	              261.00	              203.00	           338639.00	              163.00
6/8/2003	7	              438.00	          5780784.00	              170.00	              149.00	           209385.00	              136.00
6/15/2003	7	              636.00	          9126824.00	              182.00	              130.00	           271396.00	              107.00
6/22/2003	7	              204.00	          2582671.00	              123.00	               83.00	           205462.00	               74.00
6/29/2003	7	              138.00	          1584784.00	               89.00	               66.00	           129368.00	               62.00
7/6/2003	7	              548.00	          8516341.00	              159.00	              105.00	           223548.00	               89.00
7/13/2003	7	              918.00	         14740134.00	              232.00	              167.00	           289482.00	              145.00
7/20/2003	7	              522.00	          7378843.00	              218.00	              124.00	           231660.00	              107.00
7/27/2003	7	              294.00	          4107636.00	              107.00	               74.00	           169463.00	               69.00
8/3/2003	7	              715.00	         14244348.00	              186.00	              103.00	           307927.00	               95.00
8/10/2003	7	              823.00	         16817043.00	              255.00	               95.00	           258031.00	               84.00
8/17/2003	7	              678.00	         11715234.00	              114.00	               83.00	           236647.00	               69.00
8/24/2003	7	              581.00	          8846663.00	              130.00	               96.00	           200116.00	               81.00
8/31/2003	7	              627.00	         10088748.00	              171.00	              130.00	           343035.00	              118.00
9/7/2003	7	             1082.00	         19963083.00	              296.00	              174.00	           410007.00	              157.00
9/14/2003	7	             1474.00	         21243177.00	              451.00	              226.00	           393104.00	              189.00
9/21/2003	7	              619.00	          5580471.00	              236.00	              105.00	           202281.00	               94.00
9/28/2003	7	             1503.00	         22164052.00	              433.00	              199.00	           557048.00	              171.00
10/5/2003	7	              452.00	          5397502.00	              179.00	               85.00	           169185.00	               76.00
10/12/2003	7	              462.00	          7172036.00	              157.00	               75.00	           182562.00	               69.00
10/19/2003	7	              387.00	          4649694.00	              181.00	               73.00	           164383.00	               62.00
10/26/2003	7	              279.00	          4338869.00	               89.00	               63.00	           159795.00	               54.00
11/2/2003	7	              752.00	         10851121.00	              259.00	              115.00	           306544.00	               96.00
11/9/2003	7	              232.00	          3687914.00	               99.00	               41.00	           114687.00	               36.00
11/16/2003	7	              223.00	          2391960.00	               96.00	               46.00	           145632.00	               44.00
11/23/2003	7	              127.00	          1048090.00	               70.00	               43.00	            83528.00	               38.00
11/30/2003	7	              518.00	          5546618.00	              198.00	               90.00	           234732.00	               78.00
12/7/2003	7	              168.00	          1805072.00	               80.00	               56.00	           136722.00	               51.00
12/14/2003	7	              229.00	          3740330.00	               73.00	               50.00	           127812.00	               46.00
12/21/2003	7	               93.00	           891657.00	               67.00	               39.00	           105803.00	               39.00
12/28/2003	7	              242.00	          2663873.00	              104.00	               56.00	           158997.00	               53.00
1/4/2004	7	              404.00	          4631424.00	              149.00	               84.00	           238070.00	               71.00
1/11/2004	7	              107.00	          1128701.00	               71.00	               39.00	           123357.00	               37.00
1/18/2004	7	              193.00	          3740684.00	              133.00	               33.00	            96627.00	               33.00
1/25/2004	7	              159.00	          1880360.00	              102.00	               32.00	           105537.00	               29.00
2/1/2004	7	              156.00	          2230092.00	               61.00	               34.00	            97159.00	               32.00
2/8/2004	7	              106.00	          1051161.00	               71.00	               43.00	           150087.00	               40.00
2/15/2004	7	              145.00	          1095140.00	              102.00	               80.00	           288458.00	               79.00
2/22/2004	7	              213.00	          3090053.00	              103.00	               76.00	           301557.00	               76.00
2/29/2004	7	              803.00	         11994243.00	              213.00	              137.00	           512857.00	              124.00
3/7/2004	7	              218.00	          2176941.00	              145.00	              104.00	           430752.00	               99.00
3/14/2004	7	              380.00	          5850832.00	              152.00	               99.00	           399567.00	               95.00
3/21/2004	7	              518.00	          8294022.00	              254.00	              123.00	           471113.00	              114.00
3/28/2004	7	              262.00	          3410054.00	              163.00	              104.00	           395112.00	              103.00
4/4/2004	7	              223.00	          2369174.00	              170.00	              110.00	           399833.00	              108.00
4/11/2004	7	              271.00	          3481742.00	              152.00	              112.00	           431284.00	              107.00
4/18/2004	7	              219.00	          2554465.00	              129.00	              108.00	           399567.00	              105.00
4/25/2004	7	              164.00	           919521.00	              135.00	              106.00	           421842.00	              103.00
5/2/2004	7	              113.00	           903818.00	               95.00	               74.00	           274827.00	               74.00
5/9/2004	7	              107.00	           806221.00	               92.00	               77.00	           306012.00	               75.00
